#QM    interpInQMgrid400k    MM
-1.210738 -1.006116 0.806228
-0.083106 -0.117714 0.032791
-0.622323 -0.649398 -0.317715
0.321221 0.332261 0.342737
0.842124 0.767873 0.661809
0.015666 0.023746 0.096026
0.387388 0.357019 0.507549
-1.576101 -1.486987 -0.438464
1.073666 1.125807 0.279828
3.779901 3.894777 0.892763
7.244697 7.133504 -0.741672
23.723368 23.823439 0.452858
-10.536717 -10.619193 -3.355948
-0.094404 -0.070904 -0.013587
0.147108 0.114054 0.066927
0.109246 0.076204 0.047483
-1.192140 -1.000827 -0.645295
-0.547640 -0.440991 -0.166260
-0.202116 -0.326988 -0.221358
40.893592 40.856256 0.209056
20.999280 21.966564 1.857435
44.214368 43.699254 1.241866
48.854442 47.773870 3.268058
8.400565 8.291856 4.091240
-19.633526 -19.590149 1.932037
0.159432 0.123021 -0.258405
-1.024875 -0.963628 0.237564
1.786147 1.749417 0.936673
-0.292568 -0.095119 -0.106589
0.024670 -0.124812 0.022879
