#QM    interpInQMgrid400k    MM
-1.744024 23.827956 -1.919542
-0.064391 -5.590049 0.115860
1.196265 -4.443820 0.509643
0.143650 57.244022 -0.119713
0.523080 -65.390655 0.154541
2.476581 -2.412335 0.870704
-0.627479 1.287327 0.560774
1.379575 -11.912898 0.317807
-0.336887 -36.775590 0.242541
-0.110384 -46.781024 -0.024976
-0.187442 26.043211 -0.151803
0.432044 -16.483666 0.221299
0.512894 9.013202 0.220508
0.478914 29.516415 0.199516
-0.013456 25.730131 0.192838
1.273852 -31.965491 0.387399
-4.787172 20.213044 -0.882199
3.632025 -1.918847 2.833337
5.515315 -91.000420 1.447841
0.045527 0.772325 0.024294
0.010285 5.643804 0.033636
-0.065688 11.021975 -0.045594
0.009820 -5.977464 -0.090711
0.249173 -9.420850 0.086288
0.214097 -26.652270 0.138088
-10.950874 70.133303 -3.112171
-6.712854 -33.321130 -3.456094
-4.849079 8.333067 0.857386
1.797486 -60.453095 1.911771
-4.747539 -39.920504 -1.515869
-2.794983 -11.974476 -0.788275
-0.113538 30.220076 0.010628
-0.176653 -8.847798 -0.078912
0.076687 -11.597971 0.118961
-0.393834 4.444105 -0.253011
-0.142319 -1.469410 0.068096
0.218190 30.278572 0.035477
0.759605 -7.132867 0.776942
-0.338734 69.119476 -0.390994
-0.540662 -24.438845 0.020230
0.011791 -7.898475 0.485388
-0.437502 -39.804779 0.078406
6.968300 -47.595847 2.353475
-0.545256 -50.605096 -0.170610
2.630783 46.297756 0.963818
-0.470938 1.998988 -0.286818
0.277405 -6.939799 -0.021570
-0.429945 -14.363969 -0.145367
1.369612 -54.904055 0.664516
-0.008809 50.389386 0.591224
-1.877398 65.535229 -1.697895
-0.961254 5.114168 -0.346203
-2.443087 41.648702 -1.345931
0.985223 -40.934023 0.710885
-1.352319 29.632396 -0.786722
-0.532854 4.294081 -0.156619
-0.935008 -4.072623 -0.424841
1.051484 -49.268606 0.643818
1.820859 38.190966 0.847164
4.032126 -46.056273 2.295976
1.923648 55.747986 -0.349967
0.954447 57.630044 0.419191
-2.149976 -0.413707 -0.940399
1.816127 -23.827279 0.471129
0.056112 -0.284363 0.013416
-0.091930 -2.163012 -0.068448
0.081561 -9.792847 0.039503
-0.138533 1.157303 -0.073966
-0.015591 -15.722425 0.003435
0.209175 -21.675116 0.140401
-2.998319 -22.723586 -0.763436
0.522685 -56.255267 0.155052
1.049873 33.746754 0.455070
1.047296 12.756982 0.322412
0.469449 18.185656 0.092457
0.026679 39.736251 0.072945
-0.419652 -15.729778 -0.200876
0.019970 7.053863 0.072719
-0.406600 0.822525 -0.192856
0.848379 -54.558024 3.105955
2.547089 76.852448 0.362190
6.458952 20.357094 3.188302
0.413300 29.118322 0.150849
0.355968 14.459104 0.306938
0.050565 -8.676353 -0.042531
-0.346520 -13.576330 -0.151565
0.363980 -13.768863 0.273213
0.533268 29.818017 0.308231
-2.780240 52.646390 -0.948601
2.257592 -28.796452 0.691836
-2.313912 20.577987 -0.929208
-0.452928 44.955113 -0.535164
-2.673847 -7.873318 -0.765957
1.883759 -47.183869 0.339064
-0.445631 -7.346060 -0.222897
-0.108298 11.820305 -0.006288
0.099849 -6.268630 0.001757
4.600785 21.739779 4.812253
-4.399046 78.849072 0.276397
-0.948086 40.028928 -1.799691
0.382274 -4.902655 0.140472
-0.595357 -23.967115 -0.238400
0.571386 -1.490198 0.363755
0.042159 -5.783584 -0.041999
0.023885 -29.395606 0.021478
-0.222513 -3.287149 -0.114604
0.211733 -50.526667 0.020882
-1.571892 15.773714 -0.146132
0.603548 -11.577686 0.462877
5.079057 35.556522 3.373255
-2.716556 -72.189352 0.228778
5.171940 40.510016 0.874906
5.854476 15.733336 2.410907
-2.965761 30.150782 -1.019319
-0.943324 78.139416 -0.830950
-0.928640 -2.906015 -0.470566
-2.725822 -56.963159 -0.717489
-0.375681 9.666323 -0.099689
-0.216807 42.778590 -0.543024
-2.233752 -42.918538 -1.179763
2.013872 26.499761 1.246988
-0.971415 43.709074 -0.567344
-0.664962 -20.409453 -0.053343
-0.962512 -1.740628 -0.303724
-0.613169 -2.051488 -0.341825
0.025209 -0.672857 -0.041248
0.048740 15.780470 -0.003554
0.215294 11.126493 0.099866
0.449510 -4.166382 0.148560
-0.107144 -14.792971 -0.026143
-0.086878 21.365310 -0.028877
0.455776 4.152674 0.145658
-0.034034 -1.294189 -0.084090
0.011802 6.850198 0.026986
-0.341541 -9.239532 -0.192188
0.238744 14.117344 0.101200
0.533637 -10.449441 0.260998
0.412682 -7.201310 0.253758
-0.102333 11.554876 -0.016554
0.054030 -50.946621 0.112717
0.769543 -24.167440 0.654033
0.798809 -14.842409 0.168615
2.317102 -4.171978 0.842432
-0.657420 11.560751 0.033036
2.107740 68.947198 0.249579
-0.250881 34.932869 0.030526
0.528623 -21.285444 0.318787
0.660885 14.325240 0.329956
-0.210604 -22.135498 -0.024125
0.580064 -15.811668 0.296435
0.393738 4.555233 0.214892
-0.424260 -14.254047 -0.119498
-0.242781 14.953446 -0.136873
0.374431 -14.758014 0.208951
-0.223807 -32.823035 -0.087746
-0.030312 20.624055 -0.094281
0.251268 -15.339289 -0.062823
-0.604833 -3.238214 -0.249619
-0.676017 2.856061 -0.404871
-0.239964 -31.162192 -0.058315
0.717648 22.725760 0.400559
-1.382295 -33.418400 -0.604145
0.328962 -33.106060 0.027295
0.100755 52.506764 0.234158
-1.895654 8.614970 -1.052683
-0.565170 -14.911449 -0.407583
0.292369 63.296556 -0.461309
-1.106003 20.740279 -0.728244
4.006709 0.918209 1.861300
1.169992 24.697678 0.710472
0.082558 32.321150 -0.129845
0.710796 -10.109723 0.284347
-0.096029 17.606546 -0.244416
-0.803918 -22.004603 -0.461397
0.532117 26.915081 0.232389
0.889514 -32.915449 0.291692
-0.084711 -45.561994 -0.013300
1.331362 -8.642674 0.132722
2.049278 -52.468090 0.880533
-1.747251 8.941212 -0.672658
1.870726 4.051206 0.963362
0.237690 -33.072257 -0.123685
0.999499 22.315463 0.433059
-0.259187 -3.952717 -0.172456
-0.448025 -25.794071 -0.268160
-0.091557 -14.378092 0.030668
0.053529 1.205518 0.089982
0.100796 -13.533013 0.108301
0.011281 16.621183 0.043330
-0.216165 -3.661113 -0.162479
1.197138 -44.917432 0.951523
-1.213123 -48.301383 -0.765644
-0.146145 11.547920 -0.347024
-0.048962 7.397172 0.047767
-0.260939 20.362839 -0.012009
-1.274623 34.597807 -0.634148
3.494852 3.873316 1.473741
-1.289306 -7.889004 -0.501648
2.854915 -62.208160 0.752957
0.450146 -20.198290 0.116405
-0.394113 -20.363817 -0.153584
-0.265929 15.105750 -0.195284
0.781602 -53.212013 -1.892493
5.964027 49.748390 0.724909
9.328579 -35.722369 2.069928
0.897861 -4.749274 0.134329
-1.559605 10.142350 -0.264319
-0.841324 -43.839694 -0.124344
-0.516560 3.373829 -0.029535
1.022930 -25.311238 0.486744
-0.612146 -37.360504 -0.114054
2.746012 -52.657426 1.186111
3.152561 58.719711 1.371563
-2.791014 -30.400498 -2.191831
-1.582180 -33.024809 -0.770074
1.961150 -23.251148 0.936751
0.813185 -17.570272 0.404862
0.097217 9.312772 0.051651
0.431778 -3.561573 0.155817
0.136397 1.454056 0.085950
2.311015 -79.068201 1.361983
0.902221 -1.040048 0.252845
-2.836170 18.339701 -1.452815
-5.495286 72.867775 -2.503609
-0.745916 -1.911193 -0.148071
-2.066549 9.642031 -0.706650
2.398729 5.124691 0.949759
-0.618837 -9.177413 -0.521190
-1.279921 54.071750 -0.887049
-4.326701 -51.682489 -1.653261
1.374262 41.948443 0.228304
0.818504 -7.765172 -0.346320
-3.689227 14.888806 -1.568231
-2.150187 71.464305 -0.452897
-1.929131 -15.591728 -0.596974
0.207501 -14.031972 0.123688
0.851605 18.691027 0.347777
-0.052307 7.157428 -0.080868
-0.770243 -13.834463 -0.378951
-0.647712 -45.215092 -0.499486
1.509986 11.409567 0.438145
-0.970262 42.562615 -0.302153
-0.328613 -11.115289 -0.181449
-0.998716 8.023103 -0.271999
-0.588427 35.901971 0.404953
36.068150 -43.730870 8.865227
7.349564 54.221835 1.551065
-0.006219 -0.754459 0.037625
0.104092 -2.353933 0.009389
0.138411 -25.028860 0.017356
0.490917 2.247715 0.222101
0.198998 4.579770 0.146654
0.183000 15.410127 0.097245
-1.731460 47.897921 -0.684660
-0.372183 24.606021 0.071949
0.849621 6.960604 0.511136
