#QM    interpInQMgrid400k    MM
0.637393 0.436573 0.517532
-1.556900 -1.408838 -0.836857
0.152658 0.145946 0.080752
-0.985621 -0.994947 0.030319
0.413050 0.495454 0.289826
-1.305002 -1.300842 -0.355055
3.793296 3.763744 0.993199
-0.010265 0.032720 -0.037365
-0.524637 -0.551878 -0.361525
0.023070 0.014257 0.065365
0.450275 0.307477 0.291225
-0.148428 -0.246704 -0.150939
0.092047 0.038865 0.003602
-1.811743 -1.342920 -1.777255
-0.691942 -0.739122 -0.475664
-1.483230 -1.566288 -0.883621
-0.656637 -0.605850 -0.298784
-0.026677 -0.028521 -0.034348
0.146624 0.045067 0.200201
-0.307185 -0.204252 -0.035848
-1.035096 -1.048204 -0.623544
0.163558 0.132472 0.032049
-0.037965 0.000863 0.009222
-0.188530 -0.127546 -0.040611
-0.142702 -0.161756 -0.067806
-1.220613 -0.986200 -1.011136
1.471851 1.439527 2.060605
0.103500 0.143809 0.104689
1.760338 1.786057 0.953149
0.466378 0.454635 0.311259
0.360681 0.369028 0.163770
-0.479155 -0.449225 -0.139145
0.257372 0.244239 0.417449
0.281984 0.224957 0.131264
-2.293793 -2.290568 -1.470464
0.013593 0.033552 -0.103122
3.328810 3.114732 0.065525
-0.712247 -0.666245 -0.368643
-0.440297 -0.546198 -1.279764
-0.629380 -0.539564 -0.207673
0.198641 0.308974 0.209511
8.840282 8.957417 2.127559
-0.026728 0.018946 0.042777
-0.083583 -0.150220 0.026892
-1.600634 -1.295117 -0.906482
-0.147036 -0.156808 -0.071998
-1.801072 -1.736863 -1.269716
-0.599955 -0.581620 -0.226602
3.865133 3.642278 1.579321
1.128638 1.108330 0.438627
0.170580 -0.058722 0.007736
-0.999186 -0.145220 -0.157256
0.368805 0.184400 0.235581
0.721111 0.758582 0.497918
-0.533298 -0.562549 -0.331719
-0.677995 -0.582206 -0.366353
0.077164 0.062449 0.093355
-2.168848 -2.116935 -1.002280
-0.481207 -0.528097 -0.303352
-0.605656 -0.495275 -0.094943
0.215630 0.220124 -0.412247
-2.755124 -2.680112 -1.154263
-0.067732 -0.029652 -0.802189
-1.102807 -1.216044 -0.522905
-0.770578 -0.712091 -0.286336
-0.749454 -0.551728 -0.420955
3.990051 4.629221 1.769867
0.429892 0.371004 0.233309
4.950804 4.629939 1.907754
5.228478 5.220736 1.973018
-0.981680 -0.985390 -0.549737
-1.586980 -1.580732 -1.531132
0.870278 0.913319 0.096746
-0.418648 -0.471160 -0.670678
